Dates & Days,Event
1 st January,Global Family Day
4 th January,World Braille Day
6 th January,"National Technology Day, World War Orphans Day"
8 th January,African National Congress Foundation Day
9 th January,Pravasi Bharatiya Divas NRI Day
10 th January,"World Hindi Day ,World Laugusthter Day,"
11 th January,"Death anniversary of Lal Bahadur Shastri, NationalHuman Trafficking Awareness Day"
12 th January,National Youth Day (Birth Day of Swami Vivekanand)
13 th January,Guru Bobind Singh Jayanti
14 th January,"Lohri, Makar Sankranti"
15 th January,Indian Army Day
23 rd January,Netaji Subhash Chandra bose birthday
24 th January,National Girl Child day of India
25 th January,"International Customs Duty Day,India Tourism Day,National Voters Day"
26 th January,Republic Day of India and International Customs day
27 th January,"International Holocaust Day (The largest Nazi deathcamp, Auschwitz- Birkenau was liberated by Soviettroops on Jan27, 1945.), International Day of Commemoration"
28 th January,"Birth Anniversary of Lala Lajpat Rai, Data protection day"
30 th January,"Mahatma Gandhi’s Martyrdom Day (Martyr’s day)World Leprosy Eradication Day"
1 st February,"Indian Coast Guard Day , kalpana Chawala’s DeathAniversary"
2 nd February,World Wetlands Day
4 th February,"World Cancer Day , National Day of Sri Lanka"
6 th February,International Day Against Female Genital Mutilation
7 th February,"International Development Week, Safe Internet Day"
11 th February,World Day of the Sick
2 nd Sunday of February,World Marriage Day
12 th February,Darwin Day
12 th February,Abraham Lincoln;s Birthday
13 th February,Sarojini Naidu’s Birth Anniversary
14 th February,Valentine's Day
18 th February,Taj Mahotsav
20 th February,World Day of Social Justice
21 st February,International Mother Language Day
22 nd February,World Scout Day
23 rd February,World peace and understanding day
24 th February,Central Excise Day
27 th February,"World Sustainable Energy Day, World NGO Day"
28 th February,"National Science Day , Rare Disease Day"
1 st March,"Zero Discrimination Day, World Civil Defence Day"
3 rd March,"World Wildlife Day , World Hearing Day"
4 th March,National Safety Day
8 th March,International Women’s Day
10 th March,CISF Raising Day
13 th March,No Smoking Day (Second Wednesday of March)
14 th March,"Pi Day , International Day of Action for Rivers"
15 th March,World Consumer Rights Day
16 th March,National Vaccination Day
18 th March,Ordnance Factories Day (India)
20 th March,"International Day of Happiness, World Sparrow Day"
21 st March,"World Forestry Day,World Down syndrome Day, WorldPoetry Day"
22 nd March,World Water Day
23 rd March,World Meteorological Day
24 th March,World Tuberculosis (TB) Day
27 th March,World Theatre Day
1s t April,"Orissa Day, Prevention of Blindness week"
2 nd April,World Autism Awareness Day
4 th April,International Day for Mine Awareness
5 th April,National Maritime Day
7 th April,World Health Day
10 th April,World Homeopathy Day
11 th April,"National Safe Motherhood Day, National Pet Day"
13 th April,Jallianwallah Bagh Massacre Day (1919)
17 th April,World Haemophilia Day
18 th April,World Heritage Day
18 th April,World Liver Day
21 st April,"National Civil Service Day, Secretaries's Day"
22 nd April,World Earth Day
23 rd April,World Book and Copyright Day
24 th April,National Panchayati Day
25 th April,World Malaria Day
26 th April,World Intellectual Property Day
27 th April,World Veterinary Day
28 th April,World Day for Safety and Health at Work
29 th April,International Dance Day
30 th April,Ayushman Bharat Diwas
1 st May,"International Labour Day, Maharashtra Day"
3 rd May,Press Freedom Day
4 th May,"Coal miner’s day, International Fire-fighters Day"
7 th May,World Athletics Day
8 th May,"World Red Cross Day, World Thalassaemai Day"
